phrase_name,translation
resetpassword_submit,Submit
resetpassword_reset,Reset
resetpassword_bad_token,Your password recovery token was invalid.
resetpassword_complete,Your password has been successfully updated.
resetpassword_error,There has been an error resetting your password. %{error}
resetpassword_error_broken,There has been an error, and the form will not work. An issue has already been created in our systems, but please contact us directly for support.
camdetails_cameranotavailable,Your camera feed is not available.
camdetails_sharing_feedback,Your sharing invitation has been sent.
camdetails_lowerqualitybutton,High Def: On
camdetails_lowerqualitybutton_off,High Def: Off
camdetails_download_snapshot,Download Snapshot
camdetails_sendinvitebutton,Send Invitation
camdetails_reload_page_to_download_snapshot,Please reload the page to download the snapshot
cam_stream_error_idnotfound,Your camera has stopped streaming. Please reload the page to continue.
camdetails_sectionlabel_preferences,Preferences
camdetails_sectionlabel_notifications,Notifications
camdetails_sectionlabel_sounds,Sounds
camdetails_sentinvite_button,Send Invitation
camdetails_setting_on,On
camdetails_setting_off,Off
camdetails_setting_low,Low
camdetails_setting_medium,Medium
camdetails_setting_high,High
camdetails_tab_devices,Cameras
camdetails_tab_controls,Settings
camdetails_tab_timeline,Timeline
camdetails_tab_access,Access
camdetails_brightness,Brightness
camdetails_contrast,Contrast
camdetails_volume,Volume
camdetails_motionevents,Motion Events
camdetails_soundevents,Sound Events
camdetails_set_sensitivity,Sensitivity
camdetails_low_temp_notice,Low Temperature Notice
camdetails_high_temp_notice,High Temperature Notice
camdetails_access_header,Access Log
camdetails_access_email,User Email
camdetails_access_ip,IP Address
camdetails_access_timestamp,Timestamp
camdetails_player_stopped_message,Your stream has been automatically stopped to reduce your bandwidth use.
camdetails_sendinvite_button,Send Invitation
camdetails_player_will_stop_message,"<a href=""#"" class=""prevent-timeout"">Stream timeout pending - Click here to keep your session live</a>"
device_share_successful,You have been successfully authorized to use the device! You may now begin using it.
device_share_failed,Device sharing failed. %{message}.
usersettings_title,Account Settings
usersettings_email,Change your Email Address
usersettings_email_confirm,Confirm your new Email Address
usersettings_email_submit,Submit
usersettings_email_reset,Reset
usersettings_current_password,You must submit your password in order to make changes to your Email Address or Password
usersettings_password,Change your Password
usersettings_password_confirm,Confirm your new Password
usersettings_password_info1,<strong>Password Length:</strong> Must be between 8 to 12 characters in length.
usersettings_password_info2,<strong>Password Complexity:</strong> Must include at least 1 number and at least 1 letter.
usersettings_password_info3,<strong>Can not be the same as User ID</strong>
usersettings_password_submit,Submit
usersettings_password_reset,Reset
usersettings_err_emails_dont_match,Your Email Address does not match your Confirmed Email Address.
usersettings_email_updated,Your Email Address has been updated and is now %{new_email}.
usersettings_err_email_is_blank,Your Email Address cannot be empty.
usersettings_err_passwords_dont_match,Your Password does not match your Confirmed Password.
usersettings_err_password_rules,"Your password must be 8 to 12 characters in length and contain at least one letter and one number."
usersettings_err_cur_password_is_blank,Please enter your current password into the field above.
usersettings_err_cur_password_is_wrong,Your current password is wrong.
usersettings_err_cur_password_is_wrong,Your current password is wrong.
usersettings_err_new_password_is_blank,Your New Password cannot be empty.
usersettings_err_email_taken,The email address is already taken
usersettings_current_passwordinfo,You must enter your current password when making changes to Email Address or Password.<br>Forgot your password? %{password_link_start}Click here to reset it%{password_link_end}
usersettings_password_updated,Your Password has been updated.
camdetails_bitrate_button_tooltip,Pressing this button will alter the video quality for the current session. Use this if you find video playback to be choppy.
usersettings_email_header,Change your Email Address
usersettings_password_header,Change your Password
camevents_high temperature detected,Hot
camevents_low temperature detected,Cold
camevents_motion detected,Motion
camevents_sound detected,Sound
cam_available,Online
cam_unavailable,Offline
flash_not_installed,"The site requires Adobe Flash Player in order to function. <a href=""http://get.adobe.com/flashplayer/"" target=""_blank"">Please install Flash Player to continue</a>."
api_request_unauthorized,Your account credentials are invalid. Please sign in again to resume using your account.
api_loading_generic,Talking to Your Devices...
api_GET_DEVICE_EVENTS,Getting events
api_CREATE_DEVICE_SESSION,Initiating camera session
api_GET_USER_DEVICES,Getting your devices
api_SEND_DEVICE_COMMAND,Sending command to device
api_GET_USER_SHARED_DEVICES,Getting your shared devices
api_GET_DEVICE_INFO,Loading device information
api_GET_DEVICES_SHARED_WITH_USER,Getting devices shared with you
api_CREATE_USER,Creating a new Hubble user account
api_ACCEPT_SHARING_INVITATION,Processing sharing invitation
api_GET_USER_SHARING_INVITATIONS,Getting your pending invitations
api_GET_DEVICES_SHARED_BY_USER,Getting devices you are sharing with others
api_UPDATE_USER,Updating your account
api_GET_CURRENT_USER,Loading your account info
api_GET_AUTH_TOKEN,Initializing user session
api_CHANGE_USER_PASSWORD,Updating your password
api_GET_GLOBAL_EVENTS,Getting events in your Home
api_GET_DEVICE_ACTIONS,Getting device access history
annualpending_contact_support,Contact support at support@hubbleconnected.com to change your plan sooner.
myaccount_header,My Account
myaccount_emailpass,Change your email address or password
myaccount_subscriptions,Your plan: You have the <strong>%{plan_name}</strong> plan
myaccount_expired,<strong>Your plan has expired</strong>.
myaccount_canceled,<strong>Your plan has been canceled</strong>.
myaccount_canceled_plan,Your <strong>%{canceled_plan_name}</strong> plan has been canceled. It will remain active for <strong>%{cur_plan_expire} days</strong>
myaccount_billing,Update your billing information
myaccount_subscriptions_nosubsyet,Your plan - You do not currently have a plan
myaccount_calltoaction,Upgrade now to enjoy motion-triggered video notifications
myaccount_change_plan, Change Plan
myaccount_reactivate_plan, Reactivate
myaccount_renew_plan, New Plan
myaccount_apply_plan, Apply Plan
myaccount_pending_plan,You currently have the <strong>%{pending_plan_name}</strong> plan pending. It will take effect after <strong>%{cur_plan_expire} days</strong>
myaccount_recommended,Recommended
billing_change_plan, Change Plan
billing_title, Purchase your new plan
billing_info_header,Your Billing Information
billing_info_header_select,You selected
billing_info_same_annual,You already have the annual version of this plan!
billing_info_annual_savings,You can save over <strong>%{currency_symbol}%{annual_savings}</strong> by choosing to pay now for a yearly subscription.
billing_info_per_year,per year
billing_info_apply_yearly_msg,The yearly subscription plan will take affect once you've completed your purchase&#44; or updated your billing details. Thank you.
billing_info_choose_yearly,Choose Yearly
billing_info_cc_header,Credit card information
billing_info_cc_name,Name on card
billing_info_cc_number,Card number
billing_info_cc_expiry_date,Expiry Date
billing_info_cvv_number,CVV number
billing_info_cvv_help,For Mastercard&#44; Visa or Discover&#44; it's the last three digits in the signature area on the back of your card. For American Express&#44; it's the four digits on the front of the card.
billing_info_addr_header,Billing address
billing_info_addr_line1,Address 1
billing_info_addr_line2,Address 2
billing_info_addr_city,City
billing_info_addr_state,Province / State
billing_info_addr_country,Country
billing_info_addr_zip,Postal / Zip code
billing_info_voucher_header,Voucher
billing_info_voucher,If applicable
billing_info_submit,Submit
billing_info_reset,Reset
billing_info_plan_p1,Not the correct plan?<br/><strong>You can change it here:</strong>
billing_info_plan_p2,Secure payment system satement.
billing_info_plan_p3,We do not store your credit card details&#44; we collect them at the point of purchase.
billing_info_yourinfo_header,Your Information
billing_info_wanna_update,Or would you like to update your card or billing details?
billing_info_yes_update,"Update your billing details"
billing_info_no_update,"Complete your purchase"
billing_info_processing,Selected
billing_info_currency,All prices in USD
billing_info_error,An error occured. Please try again later.
updatebilling_title,Update Your Billing Details
updatebilling_current_plan,Current Plan
updatebilling_add_plan,Add a subscription plan?
updatebilling_add_plan_btn,Add Plan
updatebilling_canceled_title,Your Plan has been Canceled
updatebilling_canceled_message,Would you like to ractivate your plan?
updatebilling_canceled_reactivate,Reactivate
subs_header,Choose your plan
subs_header_info, <p>Get more than just a snapshot. Get the whole story -- With Hubble's motion-triggered Cloud Video Recording service all the actions in your home is captured as it happens.</p><p>These events are instantly available on the Hubble app so you can relive the day's most important moments in your own time.</p><p><strong>Simply choose how far back in the past you'd like to see:</strong></p>
subs_pending_plan,You currently have the <strong>%{pending_plan_name}</strong> plan pending. It will take effect after <strong>%{cur_plan_expire} days</strong>
subs_last24hours,Last 24 Hours,
subs_last7days,Last 7 Days
subs_last30days,Last 30 Days
subs_choose,Choose
subs_yearly,yearly
subs_monthly,monthly
subs_per_month,per month
subs_of_motion_triggered_video,of motion-triggered video
credit_card_number,Card Number
credit_card_month,Expiry Month
credit_card_year,Expiry Year
credit_card_cvv,Card CVV
credit_card_first_name,First Name
credit_card_last_name,Last Name
credit_card_address1,Address
credit_card_city,City
credit_card_state,State
credit_card_postal,Postal Code
credit_card_country,Country
createsubscription_submit,submit
createsubscription_reset,reset
subform_error_card_number,There's an error with your credit card number. Please check and try again
subform_error_card_expiry, Error with credit card expiry month/year
subform_error_card_cvv, Error with credit card cvv
subform_error_card_address, Billing address is required
subform_error_card_city, Billing city is required
subform_error_card_country, Billing country is required
subform_error_card_postal, Billing postal code is required
subform_error_card_state, Billing state is required
devsubs_header,Apply your Plan
devsubs_info, Select the cameras that you would like to apply the <strong>%{plan_name}</strong> plan to.
devsubs_subs_remaining,Subscription slots remaining:
devsub_submit_button,Apply
devsub_pending_plan,You currently have the <strong>%{pending_plan_name}</strong> plan pending. It will take effect after <strong>%{cur_plan_expire} days.</strong>
devsub_current_plan,Current plan:
devsubs_apply,Apply <strong>%{plan_name}</strong> plan
devsub_no_device,You have no devices attached to your account.
devsub_error,Error: An error has occured. Please verify that you have enough slots available.
apply_subscription_submit,Submit
apply_subscription_reset,Reset
apply_subscription_plan_id_error,Please select atleast one plan to apply to devices
apply_subscription_devices_error,Please select atleast one device to apply the plan
plans_infotext1,You can switch back to a streaming only plan at any time.
plans_infotext2,The 24 Hour and 7 Day subscription plans can be applied to up to 4 cameras. The 30 Day subscription plan can be applied to up to 10 cameras.
plans_infotext3,All users can connect up to 10 cameras to their account.
subs_header_change,Change Your Plan
subs_annual_plan,You are currently subscribed to the <strong>%{annual_plan}</strong> plan.
plans_cancelbutton_text,Cancel Plan
plans_yourcurrentplan,Current Plan
plans_switchplans,Switch Plan
plans_freemium_title,Free
plans_hubble-tier1_title,24 Hours
plans_hubble-tier1_desc,Capture and store the last 24 Hours of motion-triggered video
plans_hubble-tier1_dev_limit,Up to 4 cameras
plans_hubble-tier1-yearly_title,24 Hours Annual
plans_hubble-tier1-yearly_desc,Capture and store the last 24 Hours of motion-triggered video
plans_hubble-tier1-yearly_dev_limit,Up to 4 cameras
plans_getstarted,Get started
plans_hubble-tier2_title,7 Days
plans_hubble-tier2_desc,Capture and store the last 7 Days of motion-triggered video
plans_hubble-tier2_dev_limit,Up to 4 cameras
plans_hubble-tier2-yearly_title,7 Days Annual
plans_hubble-tier2-yearly_desc,Capture and store the last 7 Days of motion-triggered video
plans_hubble-tier2-yearly_dev_limit,Up to 4 cameras
plans_hubble-tier3_title,30 Days
plans_permonth,per month
plans_hubble-tier3_desc,Capture and store the last 30 Days of motion-triggered video
plans_hubble-tier3_dev_limit,Up to 10 cameras
plans_hubble-tier3-yearly_title,30 Days Annual
plans_hubble-tier3-yearly_desc,Capture and store the last 30 Days of motion-triggered video
plans_hubble-tier3-yearly_dev_limit,Up to 10 cameras
plan_downgrade_confirmation, This would downgrade your current plan!
plan_cancel_sucess,Your subscription has been canceled and will take effect at the end of your current billing cycle:
plan_upgrade_sucess,Congratulations! Your subscription has been upgraded successfully.
plan_change_failure,Error with changing your subscription. Please try again later
plan_reactivate_enforce,This would re-activate your subscription!
plan_cancel_message,You may cancel your plan at any time. Cancel now?
plan_cancel_processing,Processing
purchaseconfirm_header,Purchase Confirmation,
purchaseconfirm_message_error,Unfortunately we were not able to process your order
purchaseconfirm_undermessage_error,Click <a href='/#billing'>here</a> to review your payment details and try again.
purchaseconfirm_message,<span class='success'>Thank you for your purchase</span>
purchaseconfirm_undermessage,Click <a href='/#myaccount'>here</a> to view your account or click the camera icon above to return to your live feed.
purchaseconfirm_apply,You may now apply your plan to your device(s).
purchaseconfirm_apply_btn,Apply Plan
purchaseconfirm_pending_plan,Your new <strong>%{pending_plan_name}</strong> plan will take effect after <strong>%{cur_plan_expire} days.</strong>
cancelconfirm_header,Cancel Plan
cancelconfirm_yourplan,Are you sure you want to cancel your %{plan} plan?
cancelconfirm_message,Your plan will be cancelled at the end the current billing cycle.
cancelconfirm_button,"Yes, I'm sure"
ToS_title,Terms of Service
ToS_cancel,Cancel
ToS_continue,Continue
ToS_accept_check,Accept
